最高气温,最低气温,天气,风向,日期,星期,风力,平均气温
35,28,"多云
                                        /多云",东风,2024年09月01日,Sunday,3,31
34,26,"雷阵雨
                                        /阴",东北风,2024年09月02日,Monday,4,30
33,25,"多云
                                        /多云",东北风,2024年09月03日,Tuesday,3,29
34,26,"多云
                                        /晴",东南风,2024年09月04日,Wednesday,3,30
35,26,"晴
                                        /晴",东北风,2024年09月05日,Thursday,3,30
34,26,"阴
                                        /多云",东风,2024年09月06日,Friday,4,30
34,26,"多云
                                        /晴",东风,2024年09月07日,Saturday,4,30
34,26,"多云
                                        /多云",东风,2024年09月08日,Sunday,3,30
35,26,"多云
                                        /晴",东风,2024年09月09日,Monday,4,30
34,26,"多云
                                        /中雨",东北风,2024年09月10日,Tuesday,4,30
28,26,"大雨
                                        /雷阵雨",东北风,2024年09月11日,Wednesday,5,27
33,27,"阴
                                        /多云",东南风,2024年09月12日,Thursday,3,30
32,26,"雷阵雨
                                        /雷阵雨",东风,2024年09月13日,Friday,3,29
33,26,"多云
                                        /多云",北风,2024年09月14日,Saturday,3,29
30,24,"雷阵雨
                                        /阴",东北风,2024年09月15日,Sunday,5,27
29,24,"大雨
                                        /暴雨",北风,2024年09月16日,Monday,7,26
31,26,"雷阵雨
                                        /多云",东风,2024年09月17日,Tuesday,4,28
33,25,"多云
                                        /多云",东风,2024年09月18日,Wednesday,5,29
32,27,"多云
                                        /阴",东北风,2024年09月19日,Thursday,5,29
30,24,"雷阵雨
                                        /阴",西北风,2024年09月20日,Friday,5,27
26,18,"阵雨
                                        /多云",北风,2024年09月21日,Saturday,6,22
24,16,"晴
                                        /多云",北风,2024年09月22日,Sunday,5,20
25,16,"多云
                                        /多云",东北风,2024年09月23日,Monday,3,20
26,18,"多云
                                        /多云",北风,2024年09月24日,Tuesday,3,22
27,22,"阴
                                        /阴",东北风,2024年09月25日,Wednesday,3,24
27,22,"阴
                                        /阵雨",东风,2024年09月26日,Thursday,3,24
36,29,"晴
                                        /晴",西南风,2024年08月01日,Thursday,4,32
37,30,"多云
                                        /多云",西南风,2024年08月02日,Friday,4,33
39,30,"多云
                                        /晴",东南风,2024年08月03日,Saturday,3,34
39,31,"晴
                                        /晴",西南风,2024年08月04日,Sunday,3,35
39,29,"多云
                                        /多云",东南风,2024年08月05日,Monday,3,34
40,29,"晴
                                        /多云",东南风,2024年08月06日,Tuesday,3,34
39,30,"多云
                                        /多云",东风,2024年08月07日,Wednesday,3,34
39,29,"多云
                                        /多云",东风,2024年08月08日,Thursday,4,34
40,30,"多云
                                        /多云",西南风,2024年08月09日,Friday,3,35
40,29,"多云
                                        /多云",西南风,2024年08月10日,Saturday,3,34
38,28,"多云
                                        /晴",西风,2024年08月11日,Sunday,4,33
38,28,"多云
                                        /多云",西北风,2024年08月12日,Monday,3,33
34,26,"中到大雨
                                        /中雨",东北风,2024年08月13日,Tuesday,4,30
33,26,"阴
                                        /多云",东北风,2024年08月14日,Wednesday,3,29
34,26,"多云
                                        /晴",东北风,2024年08月15日,Thursday,4,30
34,27,"多云
                                        /多云",东北风,2024年08月16日,Friday,3,30
35,27,"多云
                                        /多云",东风,2024年08月17日,Saturday,4,31
35,28,"多云
                                        /阴",东风,2024年08月18日,Sunday,3,31
31,27,"中雨
                                        /中雨",东南风,2024年08月19日,Monday,4,29
32,26,"中雨
                                        /中雨",西北风,2024年08月20日,Tuesday,3,29
30,26,"雷阵雨
                                        /晴",北风,2024年08月21日,Wednesday,3,28
35,26,"晴
                                        /多云",西南风,2024年08月22日,Thursday,3,30
36,27,"多云
                                        /多云",东南风,2024年08月23日,Friday,3,31
36,27,"多云
                                        /多云",东风,2024年08月24日,Saturday,3,31
36,27,"多云
                                        /多云",东风,2024年08月25日,Sunday,3,31
36,29,"多云
                                        /阴",东南风,2024年08月26日,Monday,3,32
31,26,"阴
                                        /阴",西风,2024年08月27日,Tuesday,5,28
30,25,"阴
                                        /阴",东北风,2024年08月28日,Wednesday,4,27
32,26,"多云
                                        /晴",东风,2024年08月29日,Thursday,3,29
34,27,"多云
                                        /多云",东风,2024年08月30日,Friday,3,30
35,27,"多云
                                        /多云",东风,2024年08月31日,Saturday,3,31
29,25,"中雨
                                        /大雨",南风,2024年07月01日,Monday,5,27
27,24,"中雨
                                        /雷阵雨",西风,2024年07月02日,Tuesday,5,25
31,26,"多云
                                        /晴",西南风,2024年07月03日,Wednesday,4,28
34,26,"多云
                                        /多云",西南风,2024年07月04日,Thursday,5,30
36,28,"多云
                                        /多云",西南风,2024年07月05日,Friday,4,32
36,28,"多云
                                        /多云",西南风,2024年07月06日,Saturday,4,32
36,28,"多云
                                        /多云",西南风,2024年07月07日,Sunday,4,32
36,30,"多云
                                        /多云",西南风,2024年07月08日,Monday,4,33
34,26,"雷阵雨
                                        /大雨",西南风,2024年07月09日,Tuesday,4,30
28,25,"暴雨
                                        /大雨",西风,2024年07月10日,Wednesday,3,26
24,20,"大雨
                                        /大雨",东风,2024年07月11日,Thursday,3,22
28,23,"大雨
                                        /暴雨",东南风,2024年07月12日,Friday,3,25
30,25,"中雨
                                        /大雨",西南风,2024年07月13日,Saturday,4,27
28,24,"大雨
                                        /阴",西南风,2024年07月14日,Sunday,3,26
32,26,"阴
                                        /多云",东南风,2024年07月15日,Monday,3,29
33,28,"多云
                                        /阴",西南风,2024年07月16日,Tuesday,3,30
34,28,"阴
                                        /多云",西南风,2024年07月17日,Wednesday,4,31
34,28,"阴
                                        /阴",西南风,2024年07月18日,Thursday,4,31
34,29,"阴
                                        /阴",西南风,2024年07月19日,Friday,4,31
35,28,"阴
                                        /多云",西南风,2024年07月20日,Saturday,4,31
37,29,"晴
                                        /多云",西南风,2024年07月21日,Sunday,4,33
37,29,"多云
                                        /阴",西南风,2024年07月22日,Monday,3,33
38,28,"多云
                                        /多云",东南风,2024年07月23日,Tuesday,4,33
36,28,"多云
                                        /阴",东南风,2024年07月24日,Wednesday,4,32
35,29,"多云
                                        /阴",东南风,2024年07月25日,Thursday,6,32
32,29,"阴
                                        /阴",东风,2024年07月26日,Friday,6,30
33,28,"阵雨
                                        /阴",东南风,2024年07月27日,Saturday,6,30
35,29,"多云
                                        /晴",南风,2024年07月28日,Sunday,4,32
37,28,"晴
                                        /晴",东风,2024年07月29日,Monday,3,32
38,29,"晴
                                        /多云",东南风,2024年07月30日,Tuesday,3,33
38,29,"晴
                                        /多云",西南风,2024年07月31日,Wednesday,4,33
